image_id,image_url,questions
314392,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000314392.jpg,What is she drinking?---What are you drinking?---What is her name?---What is this person drinking?---Who is she?
114786,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000114786.jpg,Whose wedding is it?---How long were they engaged?---What are their names?---Did they just get married?---Is the man helping a woman cut cake?
19719,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000019719.jpg,Do they bathe the zebras to make them look so nice?---Did you get to pet the zebra?---Why are their muzzles not striped?---How did you get so close?---Where is this?
314822,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000314822.jpg,Is that grilled cheese?---How did taste?---What kind of toast is that?---What type of soup is that?---How much did that cost?
401390,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000401390.jpg,What kind of sandwich is that?---Is there cheese on the sandwich?---What type of bread is that?---You don't put cheese on your turkey sandwiches?---What is on that sandwich?
279697,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000279697.jpg,How long did they ski?---Are these people skiing downhill?---Are they good at skiing?---What mountain is this?---How hard is that slope?
131113,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000131113.jpg,What is the brand of the refrigerator?---Is that a new fridge?---Is the fridge new?---Whose kitchen is this?---What model fridge is this?
305215,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000305215.jpg,Is that a whole meal?---What is the brown sauce?---Who prepared this meal---Are those bananas supposed to be that color?---What are you making?
296161,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000296161.jpg,Does that chair look soft?---What kind of chair is the cat in?---Does that cat have a superman symbol for a tag?---Where did you get that cool chair?---Does anyone else get to use it?
4020,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000004020.jpg,Who is she playing against?---What is her name?---Who is she playing with?---What's the score in the tennis game?---Isn't that shot out of bounds?
185108,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000185108.jpg,What restaurant is that?---What type of soup is it?---What kind of soup is that?---How did the soup taste?---Is that  grilled cheese sandwich with tomato soup?
161277,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000161277.jpg,Is that photoshopped or painted on the wall?---Where did they get that bathroom furniture?---Did you design it?---Is that your bathroom?---Is the toilet pink too:
155388,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000155388.jpg,Would it be dangerous to sit on that bench?---Where is this bench located?---Is this bench on top of a mountain?---What mountain is this?---Who put the bench there?
165770,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000165770.jpg,When was the last time someone cleaned the bathroom?---Is that toilet paper?---Who would think that's a good place to install a towel dispenser?---Why are there two rolls of toilet paper?---Why is the towel almost in the toilet?
193359,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000193359.jpg,What flag is on this man's shirt?---What is that man holding?---What kind of street festival is that?---What is he drinking?---What is that man drinking?
350299,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000350299.jpg,Do you think that dog is homeless?---Where is the dog's owner?---Why does that dog look sad?---Does this dog belong to someone?---Where is the dog's owner?
14290,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000014290.jpg,Do these traffic lights look like a Christmas tree?---Is that an art sculpture?---Where is this traffic light located?---Is it art?---Why are there so many traffic signals?
323303,https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000323303.jpg,Can you eat that train?---Who made the train?---Did the make that cake out of Twinkies?---Is that little train edible?---Is the train made from cookies or cake?
